number,value,params,datetime_start,datetime_complete
0,0.6461970058664719,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-09 08:28:35.504016,2024-01-09 08:50:46.883473
1,0.43631827676869656,"{'model': 'resnet', 'batch_size': 16, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-09 08:50:46.884502,2024-01-09 16:07:51.361016
2,0.4569680084366292,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-09 16:07:51.362085,2024-01-09 19:40:08.652588
3,0.6466021899563456,"{'model': 'efficientnet', 'batch_size': 32, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-09 19:40:08.653600,2024-01-09 22:02:39.443203
4,0.5164277575000553,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-09 22:02:39.444277,2024-01-10 02:49:59.473394
5,0.45278899090201424,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-10 02:49:59.475283,2024-01-10 06:16:58.251778
6,0.6464115612362016,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-10 06:16:58.252900,2024-01-10 07:37:03.104761
7,0.5010149692204513,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-10 07:37:03.106975,2024-01-10 12:35:34.450718
8,0.47047909064844873,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 6, 'transform': 'GAF'}",2024-01-10 12:35:34.451660,2024-01-10 13:47:06.290584
9,0.6466822412617206,"{'model': 'efficientnet', 'batch_size': 16, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-10 13:47:06.291544,2024-01-10 17:55:31.570497
10,0.4691978915661361,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 6, 'transform': 'GAF'}",2024-01-10 17:55:31.572672,2024-01-10 22:22:43.207519
11,0.6462439382315901,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-10 22:22:43.208552,2024-01-10 22:46:40.587392
12,0.6462526882700571,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-10 22:46:40.588345,2024-01-10 23:26:22.899915
13,0.4411734883780968,"{'model': 'efficientnet', 'batch_size': 128, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-10 23:26:22.901419,2024-01-11 01:03:58.761691
14,0.47778995539894104,"{'model': 'efficientnet', 'batch_size': 32, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-11 01:03:58.763947,2024-01-11 08:03:46.082732
15,0.5156100866810736,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-11 08:03:46.086056,2024-01-11 09:26:03.084593
16,0.6462520162614414,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-11 09:26:03.087401,2024-01-11 09:56:07.986213
17,0.6462520162614414,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-11 09:56:07.987256,2024-01-11 10:26:13.946725
18,0.4447011350667972,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-11 10:26:13.947847,2024-01-11 14:22:13.549054
19,0.6462624913605215,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-11 14:22:13.550172,2024-01-11 17:48:59.849124
20,0.45278899090201424,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-11 17:48:59.850059,2024-01-11 21:13:19.246826
21,0.6462912241662697,"{'model': 'cnn', 'batch_size': 128, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-11 21:13:19.247906,2024-01-11 21:34:52.933056
22,0.4680730715452659,"{'model': 'efficientnet', 'batch_size': 32, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-11 21:34:52.934007,2024-01-12 04:09:37.808707
23,0.48539562718645696,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-12 04:09:37.809753,2024-01-12 05:32:58.893818
24,0.6463660482315563,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-12 05:32:58.894782,2024-01-12 07:09:49.762146
25,0.6462149766064444,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-12 07:09:49.763537,2024-01-12 08:01:02.605959
26,0.503793821387031,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-12 08:01:02.606927,2024-01-12 09:21:19.344083
27,0.43436997786549736,"{'model': 'efficientnet', 'batch_size': 128, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-12 09:21:19.345022,2024-01-12 11:06:05.446951
28,0.6464115612362016,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-12 11:06:05.447980,2024-01-12 12:17:50.946164
29,0.42031270022336364,"{'model': 'efficientnet', 'batch_size': 128, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-12 12:17:50.947243,2024-01-12 14:01:09.068233
