number,value,params,datetime_start,datetime_complete
0,0.5126864932560686,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-09 08:28:43.928602,2024-01-09 11:25:46.145625
1,0.6456400638885686,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-09 11:25:46.146678,2024-01-09 15:21:32.235310
2,0.6455864847111062,"{'model': 'cnn', 'batch_size': 128, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-09 15:21:32.236283,2024-01-09 15:37:00.574101
3,0.37718657263825045,"{'model': 'resnet', 'batch_size': 64, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-09 15:37:00.575091,2024-01-09 18:20:39.157166
4,0.46384116430158245,"{'model': 'efficientnet', 'batch_size': 32, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-09 18:20:39.158191,2024-01-10 00:37:49.823291
5,0.48726053020759397,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-10 00:37:49.824392,2024-01-10 02:41:27.132464
6,0.6454308607683936,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-10 02:41:27.133972,2024-01-10 03:15:37.181817
7,0.6456305990201006,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-10 03:15:37.183379,2024-01-10 05:59:15.043796
8,0.6456303420895999,"{'model': 'cnn', 'batch_size': 128, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-10 05:59:15.044749,2024-01-10 06:23:35.249563
9,0.5106157545271703,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-10 06:23:35.251118,2024-01-10 07:49:23.378942
10,0.6459158916685995,"{'model': 'resnet', 'batch_size': 16, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-10 07:49:23.379917,2024-01-10 10:54:01.273669
11,0.6459991705458397,"{'model': 'efficientnet', 'batch_size': 16, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-10 10:54:01.274737,2024-01-10 14:50:18.564584
12,0.6456932197117122,"{'model': 'efficientnet', 'batch_size': 16, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-10 14:50:18.565653,2024-01-10 18:48:02.051059
13,0.6456305990201006,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-10 18:48:02.052154,2024-01-10 20:19:28.883285
14,0.43104480360829545,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-10 20:19:28.884273,2024-01-10 23:29:57.959682
15,0.6456031404074176,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-10 23:29:57.960777,2024-01-11 00:03:19.836981
16,0.4995452867910412,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-11 00:03:19.837977,2024-01-11 01:18:31.931694
17,0.6456303420895999,"{'model': 'cnn', 'batch_size': 128, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-11 01:18:31.932648,2024-01-11 01:36:36.663994
18,0.42005710321234924,"{'model': 'resnet', 'batch_size': 16, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-11 01:36:36.664978,2024-01-11 11:07:20.546810
19,0.3873446704828517,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-11 11:07:20.547895,2024-01-11 15:55:56.309277
20,0.6455864847111062,"{'model': 'cnn', 'batch_size': 128, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-11 15:55:56.313128,2024-01-11 16:16:26.139125
21,0.6461660580675728,"{'model': 'efficientnet', 'batch_size': 16, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-11 16:16:26.140077,2024-01-11 20:40:59.353
22,0.3902207759705427,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-11 20:40:59.354103,2024-01-11 21:45:17.720419
23,0.5009160971971389,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-11 21:45:17.724728,2024-01-11 23:31:59.623242
24,0.42507090280306514,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-11 23:31:59.624314,2024-01-12 03:12:51.763870
25,0.6460730311300082,"{'model': 'resnet', 'batch_size': 16, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-12 03:12:51.765005,2024-01-12 06:19:52.852898
26,0.5126864932560686,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-12 06:19:52.853962,2024-01-12 08:13:01.424751
27,0.46384116430158245,"{'model': 'efficientnet', 'batch_size': 32, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-12 08:13:01.425697,2024-01-12 14:01:20.546858
28,0.6456371896445782,"{'model': 'efficientnet', 'batch_size': 128, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-12 14:01:20.547853,2024-01-12 14:33:47.462680
29,0.3873446704828517,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-12 14:33:47.463828,2024-01-12 17:49:38.431492
