number,value,params,datetime_start,datetime_complete
0,0.6453014665976655,"{'model': 'resnet', 'batch_size': 16, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-09 08:28:39.477856,2024-01-09 11:29:29.090871
1,0.36786453719744877,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-09 11:29:29.091926,2024-01-09 12:32:27.640453
2,0.5126910523509571,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-09 12:32:27.641502,2024-01-09 15:52:56.642616
3,0.42705420935059046,"{'model': 'efficientnet', 'batch_size': 128, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-09 15:52:56.643560,2024-01-09 17:57:19.569899
4,0.44212933107340074,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-09 17:57:19.571016,2024-01-09 21:38:56.194047
5,0.35505038582866455,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-09 21:38:56.195156,2024-01-09 22:54:56.770372
6,0.6449681079671903,"{'model': 'resnet', 'batch_size': 64, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-09 22:54:56.771507,2024-01-09 23:43:14.876283
7,0.4876747623864339,"{'model': 'efficientnet', 'batch_size': 16, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-09 23:43:14.877305,2024-01-10 12:43:17.312585
8,0.6449492351506754,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-10 12:43:17.313744,2024-01-10 13:09:34.308921
9,0.6449146600197663,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-10 13:09:34.309931,2024-01-10 14:15:45.171349
10,0.6454329909595118,"{'model': 'efficientnet', 'batch_size': 16, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-10 14:15:45.172367,2024-01-10 18:29:45.062719
11,0.6448945356479089,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-10 18:29:45.063822,2024-01-10 19:01:16.861131
12,0.6448745713414675,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-10 19:01:16.862144,2024-01-10 20:42:52.684590
13,0.44619889637719024,"{'model': 'efficientnet', 'batch_size': 128, 'image_input_size': 6, 'transform': 'GAF'}",2024-01-10 20:42:52.685558,2024-01-10 22:34:52.788727
14,0.49753925353818057,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-10 22:34:52.789864,2024-01-11 00:01:20.439612
15,0.6454122251164778,"{'model': 'efficientnet', 'batch_size': 16, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-11 00:01:20.440657,2024-01-11 04:43:02.878810
16,0.6448388659605229,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-11 04:43:02.879831,2024-01-11 06:51:03.077094
17,0.6449312787467142,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-11 06:51:03.078198,2024-01-11 08:18:25.901376
18,0.6449602354414732,"{'model': 'efficientnet', 'batch_size': 128, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-11 08:18:25.902389,2024-01-11 09:02:36.555039
19,0.6452505295556101,"{'model': 'efficientnet', 'batch_size': 32, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-11 09:02:36.556182,2024-01-11 11:45:07.137765
20,0.4064448373490313,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-11 11:45:07.141805,2024-01-11 16:35:12.942894
21,0.6448388659605229,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-11 16:35:12.944117,2024-01-11 18:42:04.394432
22,0.6449732420559475,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-11 18:42:04.395512,2024-01-11 19:11:58.341514
23,0.4821664561692026,"{'model': 'efficientnet', 'batch_size': 32, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-11 19:11:58.343077,2024-01-12 02:04:05.826857
24,0.6449492351506754,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-12 02:04:05.827871,2024-01-12 02:36:37.555365
25,0.6449301435028165,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-12 02:36:37.556524,2024-01-12 03:47:34.009591
26,0.6450401156500296,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-12 03:47:34.010561,2024-01-12 05:29:50.109191
27,0.49753925353818057,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-12 05:29:50.110204,2024-01-12 07:35:20.084646
28,0.6454743588507188,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-12 07:35:20.085595,2024-01-12 08:58:51.591406
29,0.6449602354414732,"{'model': 'efficientnet', 'batch_size': 128, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-12 08:58:51.592428,2024-01-12 09:43:24.060328
