number,value,params,datetime_start,datetime_complete
25,0.024499263516523997,"{'n_layers': 2, 'out_channels_0': 32, 'out_channels_1': 8, 'kernel_size_0': 2, 'kernel_size_1': 4, 'activation': 'relu', 'batch_size': 64}",2024-03-25 20:29:16.131216,2024-03-25 21:16:24.036489
26,0.04267299010904883,"{'n_layers': 1, 'out_channels_0': 8, 'kernel_size_0': 3, 'activation': 'tanh', 'batch_size': 16}",2024-03-25 21:16:24.038442,2024-03-25 23:04:31.372559
27,0.026908665251873607,"{'n_layers': 2, 'out_channels_0': 64, 'out_channels_1': 16, 'kernel_size_0': 2, 'kernel_size_1': 3, 'activation': 'relu', 'batch_size': 32}",2024-03-25 23:04:31.374455,2024-03-26 00:26:14.602650
28,0.04385151150154145,"{'n_layers': 1, 'out_channels_0': 16, 'kernel_size_0': 2, 'activation': 'relu', 'batch_size': 16}",2024-03-26 00:26:14.604612,2024-03-26 02:05:36.087205
29,0.04330294365031255,"{'n_layers': 1, 'out_channels_0': 4, 'kernel_size_0': 2, 'activation': 'tanh', 'batch_size': 32}",2024-03-26 02:05:36.089094,2024-03-26 02:58:23.712078
30,0.0257362545317348,"{'n_layers': 2, 'out_channels_0': 32, 'out_channels_1': 8, 'kernel_size_0': 4, 'kernel_size_1': 2, 'activation': 'tanh', 'batch_size': 128}",2024-03-26 02:58:23.713990,2024-03-26 03:21:31.114624
31,0.031826992174110856,"{'n_layers': 3, 'out_channels_0': 64, 'out_channels_1': 4, 'out_channels_2': 4, 'kernel_size_0': 2, 'kernel_size_1': 4, 'kernel_size_2': 3, 'activation': 'softsign', 'batch_size': 16}",2024-03-26 03:21:31.116562,2024-03-26 07:00:56.680445
32,0.03361509922816084,"{'n_layers': 2, 'out_channels_0': 4, 'out_channels_1': 8, 'kernel_size_0': 4, 'kernel_size_1': 3, 'activation': 'relu', 'batch_size': 32}",2024-03-26 07:00:56.682493,2024-03-26 08:15:40.179534
33,0.03419859774061761,"{'n_layers': 1, 'out_channels_0': 8, 'kernel_size_0': 3, 'activation': 'tanh', 'batch_size': 128}",2024-03-26 08:15:40.181448,2024-03-26 08:32:04.441158
34,0.025842649234967735,"{'n_layers': 2, 'out_channels_0': 16, 'out_channels_1': 4, 'kernel_size_0': 4, 'kernel_size_1': 2, 'activation': 'relu', 'batch_size': 128}",2024-03-26 08:32:04.443138,2024-03-26 08:54:34.280209
