number,value,params,datetime_start,datetime_complete
0,0.03236106188251302,"{'n_layers': 1, 'out_channels_0': 16, 'kernel_size_0': 4, 'activation': 'relu', 'batch_size': 64}",2024-03-24 17:29:20.709591,2024-03-24 17:56:13.422360
1,0.015896072463474156,"{'n_layers': 3, 'out_channels_0': 32, 'out_channels_1': 32, 'out_channels_2': 4, 'kernel_size_0': 3, 'kernel_size_1': 3, 'kernel_size_2': 3, 'activation': 'relu', 'batch_size': 128}",2024-03-24 17:56:13.424508,2024-03-24 18:25:45.636981
2,0.023242324856107326,"{'n_layers': 3, 'out_channels_0': 32, 'out_channels_1': 64, 'out_channels_2': 4, 'kernel_size_0': 4, 'kernel_size_1': 3, 'kernel_size_2': 3, 'activation': 'relu', 'batch_size': 32}",2024-03-24 18:25:45.638982,2024-03-24 20:08:18.566419
3,0.04002882639557688,"{'n_layers': 1, 'out_channels_0': 16, 'kernel_size_0': 4, 'activation': 'softsign', 'batch_size': 32}",2024-03-24 20:08:18.568386,2024-03-24 21:05:54.261420
4,0.02626971948209681,"{'n_layers': 3, 'out_channels_0': 32, 'out_channels_1': 4, 'out_channels_2': 8, 'kernel_size_0': 4, 'kernel_size_1': 2, 'kernel_size_2': 4, 'activation': 'relu', 'batch_size': 32}",2024-03-24 21:05:54.263573,2024-03-24 22:45:22.415535
5,0.027072599294283045,"{'n_layers': 3, 'out_channels_0': 8, 'out_channels_1': 4, 'out_channels_2': 4, 'kernel_size_0': 3, 'kernel_size_1': 4, 'kernel_size_2': 2, 'activation': 'relu', 'batch_size': 128}",2024-03-24 22:45:22.417525,2024-03-24 23:12:39.554362
6,0.02497094938010822,"{'n_layers': 3, 'out_channels_0': 16, 'out_channels_1': 16, 'out_channels_2': 32, 'kernel_size_0': 2, 'kernel_size_1': 3, 'kernel_size_2': 2, 'activation': 'relu', 'batch_size': 16}",2024-03-24 23:12:39.556314,2024-03-25 02:29:06.191006
7,0.029762089564417192,"{'n_layers': 2, 'out_channels_0': 8, 'out_channels_1': 4, 'kernel_size_0': 3, 'kernel_size_1': 4, 'activation': 'softsign', 'batch_size': 128}",2024-03-25 02:29:06.192908,2024-03-25 02:53:04.165171
8,0.027701630385012575,"{'n_layers': 2, 'out_channels_0': 32, 'out_channels_1': 16, 'kernel_size_0': 4, 'kernel_size_1': 3, 'activation': 'relu', 'batch_size': 16}",2024-03-25 02:53:04.167171,2024-03-25 05:25:43.328099
9,0.028379975548062084,"{'n_layers': 3, 'out_channels_0': 32, 'out_channels_1': 4, 'out_channels_2': 4, 'kernel_size_0': 2, 'kernel_size_1': 3, 'kernel_size_2': 3, 'activation': 'tanh', 'batch_size': 64}",2024-03-25 05:25:43.330099,2024-03-25 06:33:57.296705
10,0.04296819178667348,"{'n_layers': 1, 'out_channels_0': 64, 'kernel_size_0': 3, 'activation': 'relu', 'batch_size': 16}",2024-03-25 06:33:57.298729,2024-03-25 08:41:50.468202
11,0.036983660923666464,"{'n_layers': 2, 'out_channels_0': 4, 'out_channels_1': 16, 'kernel_size_0': 3, 'kernel_size_1': 2, 'activation': 'relu', 'batch_size': 16}",2024-03-25 08:41:50.470217,2024-03-25 11:13:13.976871
12,0.023196867802946847,"{'n_layers': 3, 'out_channels_0': 32, 'out_channels_1': 8, 'out_channels_2': 16, 'kernel_size_0': 4, 'kernel_size_1': 2, 'kernel_size_2': 3, 'activation': 'softsign', 'batch_size': 128}",2024-03-25 11:13:13.978915,2024-03-25 11:46:39.906337
13,0.022311958429193535,"{'n_layers': 2, 'out_channels_0': 32, 'out_channels_1': 64, 'kernel_size_0': 4, 'kernel_size_1': 2, 'activation': 'relu', 'batch_size': 64}",2024-03-25 11:46:39.908300,2024-03-25 12:28:25.937779
14,0.026236684188957506,"{'n_layers': 3, 'out_channels_0': 16, 'out_channels_1': 8, 'out_channels_2': 4, 'kernel_size_0': 4, 'kernel_size_1': 4, 'kernel_size_2': 3, 'activation': 'tanh', 'batch_size': 128}",2024-03-25 12:28:25.939765,2024-03-25 12:56:02.134836
15,0.03910860973770984,"{'n_layers': 1, 'out_channels_0': 8, 'kernel_size_0': 4, 'activation': 'tanh', 'batch_size': 32}",2024-03-25 12:56:02.136769,2024-03-25 13:49:08.241369
16,0.022427034771625918,"{'n_layers': 2, 'out_channels_0': 8, 'out_channels_1': 32, 'kernel_size_0': 4, 'kernel_size_1': 4, 'activation': 'relu', 'batch_size': 128}",2024-03-25 13:49:08.243372,2024-03-25 14:11:40.857261
