number,value,params,datetime_start,datetime_complete
0,0.03840945413307728,"{'batch_size': 16, 'n_layers': 9, 'n_units_l0': 70, 'n_units_l1': 90, 'n_units_l2': 30, 'n_units_l3': 60, 'n_units_l4': 50, 'n_units_l5': 40, 'n_units_l6': 70, 'n_units_l7': 60, 'n_units_l8': 80, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-19 15:54:23.896542,2024-03-19 17:45:19.174513
1,0.021314687168936496,"{'batch_size': 32, 'n_layers': 8, 'n_units_l0': 80, 'n_units_l1': 50, 'n_units_l2': 80, 'n_units_l3': 80, 'n_units_l4': 80, 'n_units_l5': 60, 'n_units_l6': 90, 'n_units_l7': 90, 'dropout': 0.01, 'activation': 'relu'}",2024-03-19 17:45:19.175605,2024-03-19 18:51:45.069991
2,0.03681278765384928,"{'batch_size': 64, 'n_layers': 7, 'n_units_l0': 60, 'n_units_l1': 70, 'n_units_l2': 100, 'n_units_l3': 50, 'n_units_l4': 100, 'n_units_l5': 30, 'n_units_l6': 30, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-19 18:51:45.070976,2024-03-19 19:16:32.272665
3,0.03316121531357054,"{'batch_size': 64, 'n_layers': 6, 'n_units_l0': 80, 'n_units_l1': 40, 'n_units_l2': 50, 'n_units_l3': 30, 'n_units_l4': 100, 'n_units_l5': 30, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-19 19:16:32.273631,2024-03-19 19:50:50.285884
4,0.040959366222655426,"{'batch_size': 16, 'n_layers': 11, 'n_units_l0': 60, 'n_units_l1': 80, 'n_units_l2': 40, 'n_units_l3': 60, 'n_units_l4': 60, 'n_units_l5': 60, 'n_units_l6': 70, 'n_units_l7': 80, 'n_units_l8': 100, 'n_units_l9': 40, 'n_units_l10': 40, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-19 19:50:50.286841,2024-03-19 22:06:26.435
5,0.02329208478651037,"{'batch_size': 16, 'n_layers': 7, 'n_units_l0': 60, 'n_units_l1': 30, 'n_units_l2': 30, 'n_units_l3': 30, 'n_units_l4': 30, 'n_units_l5': 70, 'n_units_l6': 80, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 22:06:26.436976,2024-03-20 00:07:04.611728
6,0.03941999653997527,"{'batch_size': 16, 'n_layers': 12, 'n_units_l0': 100, 'n_units_l1': 40, 'n_units_l2': 100, 'n_units_l3': 90, 'n_units_l4': 30, 'n_units_l5': 90, 'n_units_l6': 90, 'n_units_l7': 30, 'n_units_l8': 90, 'n_units_l9': 50, 'n_units_l10': 50, 'n_units_l11': 70, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-20 00:07:04.613073,2024-03-20 02:14:01.556538
7,0.6471302230551164,"{'batch_size': 16, 'n_layers': 13, 'n_units_l0': 80, 'n_units_l1': 90, 'n_units_l2': 30, 'n_units_l3': 70, 'n_units_l4': 40, 'n_units_l5': 50, 'n_units_l6': 50, 'n_units_l7': 60, 'n_units_l8': 100, 'n_units_l9': 80, 'n_units_l10': 30, 'n_units_l11': 30, 'n_units_l12': 90, 'dropout': 0.01, 'activation': 'relu'}",2024-03-20 02:14:01.557553,2024-03-20 02:42:48.165027
8,0.6471453922825342,"{'batch_size': 64, 'n_layers': 13, 'n_units_l0': 70, 'n_units_l1': 90, 'n_units_l2': 80, 'n_units_l3': 90, 'n_units_l4': 50, 'n_units_l5': 30, 'n_units_l6': 70, 'n_units_l7': 60, 'n_units_l8': 100, 'n_units_l9': 80, 'n_units_l10': 40, 'n_units_l11': 50, 'n_units_l12': 30, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 02:42:48.166034,2024-03-20 02:55:27.644549
9,0.03818564941760376,"{'batch_size': 128, 'n_layers': 13, 'n_units_l0': 100, 'n_units_l1': 50, 'n_units_l2': 60, 'n_units_l3': 70, 'n_units_l4': 30, 'n_units_l5': 60, 'n_units_l6': 30, 'n_units_l7': 50, 'n_units_l8': 80, 'n_units_l9': 100, 'n_units_l10': 40, 'n_units_l11': 30, 'n_units_l12': 90, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-20 02:55:27.645608,2024-03-20 03:15:07.185918
10,0.03214498279174816,"{'batch_size': 64, 'n_layers': 6, 'n_units_l0': 40, 'n_units_l1': 100, 'n_units_l2': 100, 'n_units_l3': 60, 'n_units_l4': 30, 'n_units_l5': 80, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-20 03:15:07.186944,2024-03-20 03:49:51.477026
11,0.647142781209513,"{'batch_size': 64, 'n_layers': 11, 'n_units_l0': 70, 'n_units_l1': 90, 'n_units_l2': 80, 'n_units_l3': 60, 'n_units_l4': 70, 'n_units_l5': 40, 'n_units_l6': 40, 'n_units_l7': 30, 'n_units_l8': 60, 'n_units_l9': 70, 'n_units_l10': 90, 'dropout': 0.01, 'activation': 'relu'}",2024-03-20 03:49:51.478,2024-03-20 03:55:57.048023
12,0.028433179296917035,"{'batch_size': 256, 'n_layers': 8, 'n_units_l0': 60, 'n_units_l1': 40, 'n_units_l2': 50, 'n_units_l3': 80, 'n_units_l4': 40, 'n_units_l5': 80, 'n_units_l6': 70, 'n_units_l7': 50, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-20 03:55:57.049017,2024-03-20 04:06:22.680927
13,0.6471458332968745,"{'batch_size': 16, 'n_layers': 10, 'n_units_l0': 90, 'n_units_l1': 50, 'n_units_l2': 80, 'n_units_l3': 30, 'n_units_l4': 70, 'n_units_l5': 80, 'n_units_l6': 70, 'n_units_l7': 100, 'n_units_l8': 80, 'n_units_l9': 30, 'dropout': 0.01, 'activation': 'relu'}",2024-03-20 04:06:22.681900,2024-03-20 04:32:14.363095
14,0.03789455578197187,"{'batch_size': 256, 'n_layers': 7, 'n_units_l0': 50, 'n_units_l1': 100, 'n_units_l2': 80, 'n_units_l3': 50, 'n_units_l4': 70, 'n_units_l5': 30, 'n_units_l6': 70, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-20 04:32:14.364085,2024-03-20 04:41:18.457299
15,0.6471393267344931,"{'batch_size': 32, 'n_layers': 13, 'n_units_l0': 60, 'n_units_l1': 40, 'n_units_l2': 50, 'n_units_l3': 70, 'n_units_l4': 70, 'n_units_l5': 60, 'n_units_l6': 30, 'n_units_l7': 80, 'n_units_l8': 100, 'n_units_l9': 40, 'n_units_l10': 90, 'n_units_l11': 60, 'n_units_l12': 60, 'dropout': 0.03, 'activation': 'relu'}",2024-03-20 04:41:18.458288,2024-03-20 04:54:54.937606
16,0.029186638988585444,"{'batch_size': 64, 'n_layers': 10, 'n_units_l0': 90, 'n_units_l1': 90, 'n_units_l2': 90, 'n_units_l3': 100, 'n_units_l4': 90, 'n_units_l5': 70, 'n_units_l6': 60, 'n_units_l7': 100, 'n_units_l8': 30, 'n_units_l9': 90, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-20 04:54:54.938620,2024-03-20 05:36:47.076733
17,0.021266694091023275,"{'batch_size': 256, 'n_layers': 7, 'n_units_l0': 50, 'n_units_l1': 60, 'n_units_l2': 80, 'n_units_l3': 60, 'n_units_l4': 100, 'n_units_l5': 70, 'n_units_l6': 60, 'dropout': 0.03, 'activation': 'relu'}",2024-03-20 05:36:47.077709,2024-03-20 05:47:09.911242
18,0.647141893672427,"{'batch_size': 128, 'n_layers': 13, 'n_units_l0': 70, 'n_units_l1': 60, 'n_units_l2': 70, 'n_units_l3': 80, 'n_units_l4': 100, 'n_units_l5': 30, 'n_units_l6': 50, 'n_units_l7': 50, 'n_units_l8': 70, 'n_units_l9': 50, 'n_units_l10': 50, 'n_units_l11': 90, 'n_units_l12': 60, 'dropout': 0.01, 'activation': 'relu'}",2024-03-20 05:47:09.912218,2024-03-20 05:51:35.928056
19,0.03827715813989843,"{'batch_size': 32, 'n_layers': 8, 'n_units_l0': 70, 'n_units_l1': 80, 'n_units_l2': 60, 'n_units_l3': 40, 'n_units_l4': 90, 'n_units_l5': 100, 'n_units_l6': 100, 'n_units_l7': 80, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-20 05:51:35.929052,2024-03-20 06:39:27.374882
20,0.03801035866490496,"{'batch_size': 32, 'n_layers': 9, 'n_units_l0': 100, 'n_units_l1': 30, 'n_units_l2': 100, 'n_units_l3': 90, 'n_units_l4': 70, 'n_units_l5': 40, 'n_units_l6': 50, 'n_units_l7': 70, 'n_units_l8': 60, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-20 06:39:27.375864,2024-03-20 07:46:03.082957
21,0.031470747248340245,"{'batch_size': 64, 'n_layers': 6, 'n_units_l0': 80, 'n_units_l1': 50, 'n_units_l2': 80, 'n_units_l3': 70, 'n_units_l4': 30, 'n_units_l5': 30, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-20 07:46:03.083936,2024-03-20 08:18:13.157292
22,0.03435248891590195,"{'batch_size': 32, 'n_layers': 6, 'n_units_l0': 90, 'n_units_l1': 100, 'n_units_l2': 70, 'n_units_l3': 100, 'n_units_l4': 100, 'n_units_l5': 50, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 08:18:13.158256,2024-03-20 09:21:11.044258
23,0.6471446669284207,"{'batch_size': 32, 'n_layers': 9, 'n_units_l0': 90, 'n_units_l1': 100, 'n_units_l2': 90, 'n_units_l3': 40, 'n_units_l4': 90, 'n_units_l5': 30, 'n_units_l6': 100, 'n_units_l7': 80, 'n_units_l8': 60, 'dropout': 0.05, 'activation': 'relu'}",2024-03-20 09:21:11.045386,2024-03-20 09:40:19.298461
24,0.021013059040416716,"{'batch_size': 64, 'n_layers': 7, 'n_units_l0': 80, 'n_units_l1': 80, 'n_units_l2': 50, 'n_units_l3': 30, 'n_units_l4': 70, 'n_units_l5': 100, 'n_units_l6': 50, 'dropout': 0.03, 'activation': 'relu'}",2024-03-20 09:40:19.299481,2024-03-20 10:10:36.942073
25,0.037318251522441365,"{'batch_size': 256, 'n_layers': 6, 'n_units_l0': 60, 'n_units_l1': 60, 'n_units_l2': 80, 'n_units_l3': 80, 'n_units_l4': 50, 'n_units_l5': 60, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-20 10:10:36.943036,2024-03-20 10:19:57.900057
26,0.0417498068454194,"{'batch_size': 32, 'n_layers': 9, 'n_units_l0': 90, 'n_units_l1': 80, 'n_units_l2': 30, 'n_units_l3': 60, 'n_units_l4': 90, 'n_units_l5': 30, 'n_units_l6': 60, 'n_units_l7': 60, 'n_units_l8': 40, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-20 10:19:57.901037,2024-03-20 11:04:13.865064
27,0.02253599213365659,"{'batch_size': 256, 'n_layers': 6, 'n_units_l0': 70, 'n_units_l1': 30, 'n_units_l2': 80, 'n_units_l3': 40, 'n_units_l4': 90, 'n_units_l5': 90, 'dropout': 0.03, 'activation': 'relu'}",2024-03-20 11:04:13.866096,2024-03-20 11:14:02.316579
28,0.023979891171227143,"{'batch_size': 64, 'n_layers': 5, 'n_units_l0': 30, 'n_units_l1': 90, 'n_units_l2': 100, 'n_units_l3': 70, 'n_units_l4': 60, 'dropout': 0.01, 'activation': 'relu'}",2024-03-20 11:14:02.317935,2024-03-20 11:36:32.775760
29,0.6471394713154854,"{'batch_size': 64, 'n_layers': 13, 'n_units_l0': 80, 'n_units_l1': 100, 'n_units_l2': 60, 'n_units_l3': 70, 'n_units_l4': 100, 'n_units_l5': 90, 'n_units_l6': 50, 'n_units_l7': 50, 'n_units_l8': 30, 'n_units_l9': 70, 'n_units_l10': 30, 'n_units_l11': 40, 'n_units_l12': 30, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-20 11:36:32.776734,2024-03-20 11:44:14.849105
30,0.037294426388487234,"{'batch_size': 64, 'n_layers': 9, 'n_units_l0': 50, 'n_units_l1': 60, 'n_units_l2': 100, 'n_units_l3': 30, 'n_units_l4': 90, 'n_units_l5': 40, 'n_units_l6': 80, 'n_units_l7': 70, 'n_units_l8': 50, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-20 11:44:14.850112,2024-03-20 12:16:37.895194
31,0.6471242953245641,"{'batch_size': 16, 'n_layers': 13, 'n_units_l0': 50, 'n_units_l1': 100, 'n_units_l2': 60, 'n_units_l3': 100, 'n_units_l4': 90, 'n_units_l5': 50, 'n_units_l6': 70, 'n_units_l7': 90, 'n_units_l8': 90, 'n_units_l9': 100, 'n_units_l10': 100, 'n_units_l11': 70, 'n_units_l12': 30, 'dropout': 0.05, 'activation': 'relu'}",2024-03-20 12:16:37.896191,2024-03-20 12:46:53.388756
32,0.03604400337473744,"{'batch_size': 16, 'n_layers': 5, 'n_units_l0': 70, 'n_units_l1': 60, 'n_units_l2': 100, 'n_units_l3': 90, 'n_units_l4': 90, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-20 12:46:53.390392,2024-03-20 14:56:00.028216
33,0.02378249473964269,"{'batch_size': 16, 'n_layers': 9, 'n_units_l0': 30, 'n_units_l1': 100, 'n_units_l2': 30, 'n_units_l3': 60, 'n_units_l4': 80, 'n_units_l5': 50, 'n_units_l6': 80, 'n_units_l7': 100, 'n_units_l8': 60, 'dropout': 0.03, 'activation': 'relu'}",2024-03-20 14:56:00.029200,2024-03-20 16:56:12.456804
34,0.6471431222915978,"{'batch_size': 64, 'n_layers': 11, 'n_units_l0': 50, 'n_units_l1': 40, 'n_units_l2': 100, 'n_units_l3': 80, 'n_units_l4': 30, 'n_units_l5': 50, 'n_units_l6': 80, 'n_units_l7': 50, 'n_units_l8': 90, 'n_units_l9': 70, 'n_units_l10': 90, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 16:56:12.457791,2024-03-20 17:05:31.431126
35,0.647145788878565,"{'batch_size': 64, 'n_layers': 11, 'n_units_l0': 100, 'n_units_l1': 100, 'n_units_l2': 70, 'n_units_l3': 40, 'n_units_l4': 60, 'n_units_l5': 40, 'n_units_l6': 50, 'n_units_l7': 60, 'n_units_l8': 60, 'n_units_l9': 30, 'n_units_l10': 100, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-20 17:05:31.432112,2024-03-20 17:27:40.544212
36,0.026236249241794605,"{'batch_size': 16, 'n_layers': 4, 'n_units_l0': 50, 'n_units_l1': 60, 'n_units_l2': 90, 'n_units_l3': 90, 'dropout': 0.05, 'activation': 'relu'}",2024-03-20 17:27:40.545198,2024-03-20 19:01:29.456928
37,0.03276769315148488,"{'batch_size': 64, 'n_layers': 8, 'n_units_l0': 40, 'n_units_l1': 100, 'n_units_l2': 70, 'n_units_l3': 70, 'n_units_l4': 30, 'n_units_l5': 90, 'n_units_l6': 30, 'n_units_l7': 50, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 19:01:29.457909,2024-03-20 19:38:42.706231
38,0.03692003993341703,"{'batch_size': 128, 'n_layers': 6, 'n_units_l0': 50, 'n_units_l1': 70, 'n_units_l2': 80, 'n_units_l3': 30, 'n_units_l4': 60, 'n_units_l5': 40, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-20 19:38:42.707237,2024-03-20 19:56:05.747364
39,0.02750513044587856,"{'batch_size': 256, 'n_layers': 10, 'n_units_l0': 50, 'n_units_l1': 90, 'n_units_l2': 50, 'n_units_l3': 80, 'n_units_l4': 90, 'n_units_l5': 80, 'n_units_l6': 40, 'n_units_l7': 80, 'n_units_l8': 70, 'n_units_l9': 100, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-20 19:56:05.748345,2024-03-20 20:07:50.610347
40,0.6471453915439717,"{'batch_size': 128, 'n_layers': 10, 'n_units_l0': 40, 'n_units_l1': 60, 'n_units_l2': 40, 'n_units_l3': 90, 'n_units_l4': 50, 'n_units_l5': 30, 'n_units_l6': 70, 'n_units_l7': 70, 'n_units_l8': 80, 'n_units_l9': 30, 'dropout': 0.03, 'activation': 'relu'}",2024-03-20 20:07:50.611316,2024-03-20 20:12:11.233941
41,0.03845456813724088,"{'batch_size': 16, 'n_layers': 8, 'n_units_l0': 100, 'n_units_l1': 70, 'n_units_l2': 60, 'n_units_l3': 100, 'n_units_l4': 30, 'n_units_l5': 50, 'n_units_l6': 100, 'n_units_l7': 80, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 20:12:11.234946,2024-03-20 22:39:17.668232
42,0.03810342904608166,"{'batch_size': 64, 'n_layers': 10, 'n_units_l0': 100, 'n_units_l1': 90, 'n_units_l2': 50, 'n_units_l3': 30, 'n_units_l4': 40, 'n_units_l5': 50, 'n_units_l6': 90, 'n_units_l7': 100, 'n_units_l8': 80, 'n_units_l9': 30, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-20 22:39:17.669271,2024-03-20 23:19:05.083960
43,0.03021216111646731,"{'batch_size': 128, 'n_layers': 9, 'n_units_l0': 90, 'n_units_l1': 40, 'n_units_l2': 90, 'n_units_l3': 70, 'n_units_l4': 100, 'n_units_l5': 80, 'n_units_l6': 80, 'n_units_l7': 90, 'n_units_l8': 30, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 23:19:05.084943,2024-03-20 23:41:06.398738
44,0.6471346468416824,"{'batch_size': 64, 'n_layers': 9, 'n_units_l0': 30, 'n_units_l1': 80, 'n_units_l2': 80, 'n_units_l3': 60, 'n_units_l4': 40, 'n_units_l5': 50, 'n_units_l6': 60, 'n_units_l7': 100, 'n_units_l8': 70, 'dropout': 0.01, 'activation': 'relu'}",2024-03-20 23:41:06.399711,2024-03-20 23:48:15.062326
45,0.03728255872670463,"{'batch_size': 256, 'n_layers': 10, 'n_units_l0': 90, 'n_units_l1': 50, 'n_units_l2': 50, 'n_units_l3': 30, 'n_units_l4': 80, 'n_units_l5': 90, 'n_units_l6': 70, 'n_units_l7': 70, 'n_units_l8': 30, 'n_units_l9': 30, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-20 23:48:15.063315,2024-03-20 23:59:52.616984
46,0.03484800313027292,"{'batch_size': 32, 'n_layers': 6, 'n_units_l0': 100, 'n_units_l1': 100, 'n_units_l2': 70, 'n_units_l3': 70, 'n_units_l4': 70, 'n_units_l5': 60, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 23:59:52.617986,2024-03-21 01:17:35.641564
47,0.03569830998642163,"{'batch_size': 32, 'n_layers': 6, 'n_units_l0': 30, 'n_units_l1': 30, 'n_units_l2': 70, 'n_units_l3': 100, 'n_units_l4': 80, 'n_units_l5': 50, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-21 01:17:35.642595,2024-03-21 02:32:34.259654
48,0.021666930404997946,"{'batch_size': 32, 'n_layers': 7, 'n_units_l0': 100, 'n_units_l1': 40, 'n_units_l2': 90, 'n_units_l3': 80, 'n_units_l4': 100, 'n_units_l5': 80, 'n_units_l6': 100, 'dropout': 0.01, 'activation': 'relu'}",2024-03-21 02:32:34.260652,2024-03-21 03:45:08.278337
49,0.6471446623101937,"{'batch_size': 128, 'n_layers': 13, 'n_units_l0': 90, 'n_units_l1': 60, 'n_units_l2': 90, 'n_units_l3': 80, 'n_units_l4': 80, 'n_units_l5': 30, 'n_units_l6': 50, 'n_units_l7': 80, 'n_units_l8': 90, 'n_units_l9': 30, 'n_units_l10': 40, 'n_units_l11': 100, 'n_units_l12': 40, 'dropout': 0.01, 'activation': 'relu'}",2024-03-21 03:45:08.279325,2024-03-21 03:49:38.281698
50,0.036426065149701,"{'batch_size': 16, 'n_layers': 7, 'n_units_l0': 60, 'n_units_l1': 40, 'n_units_l2': 50, 'n_units_l3': 80, 'n_units_l4': 40, 'n_units_l5': 90, 'n_units_l6': 40, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-21 03:49:38.282698,2024-03-21 06:24:39.000786
51,0.0222196542668264,"{'batch_size': 32, 'n_layers': 8, 'n_units_l0': 80, 'n_units_l1': 50, 'n_units_l2': 80, 'n_units_l3': 80, 'n_units_l4': 50, 'n_units_l5': 100, 'n_units_l6': 80, 'n_units_l7': 90, 'dropout': 0.01, 'activation': 'relu'}",2024-03-21 06:24:39.002627,2024-03-21 07:43:43.638356
52,0.035276255267166656,"{'batch_size': 64, 'n_layers': 9, 'n_units_l0': 70, 'n_units_l1': 90, 'n_units_l2': 50, 'n_units_l3': 30, 'n_units_l4': 30, 'n_units_l5': 80, 'n_units_l6': 60, 'n_units_l7': 70, 'n_units_l8': 30, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-21 07:43:43.639353,2024-03-21 08:18:52.701716
