number,value,params,datetime_start,datetime_complete
18,0.6461242762160205,"{'batch_size': 32, 'n_layers': 12, 'n_units_l0': 80, 'n_units_l1': 70, 'n_units_l2': 90, 'n_units_l3': 70, 'n_units_l4': 100, 'n_units_l5': 100, 'n_units_l6': 100, 'n_units_l7': 100, 'n_units_l8': 80, 'n_units_l9': 90, 'n_units_l10': 60, 'n_units_l11': 100, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-20 03:13:00.473827,2024-03-20 03:31:34.785572
19,0.6461213346854744,"{'batch_size': 128, 'n_layers': 12, 'n_units_l0': 30, 'n_units_l1': 50, 'n_units_l2': 80, 'n_units_l3': 80, 'n_units_l4': 90, 'n_units_l5': 30, 'n_units_l6': 40, 'n_units_l7': 40, 'n_units_l8': 30, 'n_units_l9': 50, 'n_units_l10': 40, 'n_units_l11': 30, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-20 03:31:34.786584,2024-03-20 03:36:04.042386
20,0.6461241100961177,"{'batch_size': 64, 'n_layers': 10, 'n_units_l0': 70, 'n_units_l1': 40, 'n_units_l2': 90, 'n_units_l3': 60, 'n_units_l4': 70, 'n_units_l5': 40, 'n_units_l6': 80, 'n_units_l7': 80, 'n_units_l8': 70, 'n_units_l9': 90, 'dropout': 0.01, 'activation': 'relu'}",2024-03-20 03:36:04.043397,2024-03-20 03:46:10.865119
21,0.024072312217177858,"{'batch_size': 16, 'n_layers': 7, 'n_units_l0': 90, 'n_units_l1': 30, 'n_units_l2': 60, 'n_units_l3': 70, 'n_units_l4': 70, 'n_units_l5': 90, 'n_units_l6': 50, 'dropout': 0.05, 'activation': 'relu'}",2024-03-20 03:46:10.866118,2024-03-20 05:58:07.352784
22,0.6461188290174686,"{'batch_size': 128, 'n_layers': 12, 'n_units_l0': 80, 'n_units_l1': 80, 'n_units_l2': 100, 'n_units_l3': 100, 'n_units_l4': 40, 'n_units_l5': 30, 'n_units_l6': 70, 'n_units_l7': 40, 'n_units_l8': 90, 'n_units_l9': 50, 'n_units_l10': 40, 'n_units_l11': 70, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 05:58:07.353782,2024-03-20 06:02:12.206491
23,0.039232238096105626,"{'batch_size': 16, 'n_layers': 5, 'n_units_l0': 60, 'n_units_l1': 40, 'n_units_l2': 90, 'n_units_l3': 30, 'n_units_l4': 40, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-20 06:02:12.207608,2024-03-20 08:11:39.358748
24,0.04175283852527706,"{'batch_size': 16, 'n_layers': 8, 'n_units_l0': 70, 'n_units_l1': 80, 'n_units_l2': 50, 'n_units_l3': 60, 'n_units_l4': 60, 'n_units_l5': 60, 'n_units_l6': 90, 'n_units_l7': 100, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-20 08:11:39.359713,2024-03-20 09:56:23.846570
25,0.031337749843153476,"{'batch_size': 64, 'n_layers': 7, 'n_units_l0': 50, 'n_units_l1': 30, 'n_units_l2': 50, 'n_units_l3': 50, 'n_units_l4': 70, 'n_units_l5': 50, 'n_units_l6': 80, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-20 09:56:23.847555,2024-03-20 10:29:16.492757
26,0.6461218399363367,"{'batch_size': 256, 'n_layers': 11, 'n_units_l0': 100, 'n_units_l1': 100, 'n_units_l2': 40, 'n_units_l3': 50, 'n_units_l4': 40, 'n_units_l5': 50, 'n_units_l6': 100, 'n_units_l7': 70, 'n_units_l8': 30, 'n_units_l9': 40, 'n_units_l10': 30, 'dropout': 0.05, 'activation': 'relu'}",2024-03-20 10:29:16.493745,2024-03-20 10:31:54.654799
27,0.03866003025338608,"{'batch_size': 16, 'n_layers': 7, 'n_units_l0': 30, 'n_units_l1': 50, 'n_units_l2': 40, 'n_units_l3': 50, 'n_units_l4': 70, 'n_units_l5': 30, 'n_units_l6': 90, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-20 10:31:54.655790,2024-03-20 12:44:52.009061
28,0.03152624861677105,"{'batch_size': 128, 'n_layers': 7, 'n_units_l0': 100, 'n_units_l1': 30, 'n_units_l2': 50, 'n_units_l3': 100, 'n_units_l4': 100, 'n_units_l5': 40, 'n_units_l6': 40, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 12:44:52.010707,2024-03-20 13:03:31.232303
29,0.03446556970938401,"{'batch_size': 32, 'n_layers': 10, 'n_units_l0': 60, 'n_units_l1': 70, 'n_units_l2': 30, 'n_units_l3': 90, 'n_units_l4': 60, 'n_units_l5': 50, 'n_units_l6': 50, 'n_units_l7': 30, 'n_units_l8': 90, 'n_units_l9': 50, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-20 13:03:31.233287,2024-03-20 14:01:39.433625
30,0.6461239203893706,"{'batch_size': 16, 'n_layers': 10, 'n_units_l0': 60, 'n_units_l1': 90, 'n_units_l2': 30, 'n_units_l3': 100, 'n_units_l4': 100, 'n_units_l5': 40, 'n_units_l6': 60, 'n_units_l7': 80, 'n_units_l8': 40, 'n_units_l9': 90, 'dropout': 0.05, 'activation': 'relu'}",2024-03-20 14:01:39.434630,2024-03-20 14:39:23.779402
31,0.037363160469216825,"{'batch_size': 256, 'n_layers': 9, 'n_units_l0': 70, 'n_units_l1': 90, 'n_units_l2': 60, 'n_units_l3': 70, 'n_units_l4': 30, 'n_units_l5': 40, 'n_units_l6': 60, 'n_units_l7': 100, 'n_units_l8': 70, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-20 14:39:23.780418,2024-03-20 14:49:45.191991
