number,value,params,datetime_start,datetime_complete
0,0.03980371079407446,"{'batch_size': 32, 'n_layers': 11, 'n_units_l0': 60, 'n_units_l1': 30, 'n_units_l2': 60, 'n_units_l3': 70, 'n_units_l4': 100, 'n_units_l5': 90, 'n_units_l6': 50, 'n_units_l7': 50, 'n_units_l8': 90, 'n_units_l9': 40, 'n_units_l10': 80, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-19 15:54:07.966648,2024-03-19 16:42:24.179497
1,0.03453941585591404,"{'batch_size': 32, 'n_layers': 5, 'n_units_l0': 70, 'n_units_l1': 30, 'n_units_l2': 90, 'n_units_l3': 80, 'n_units_l4': 90, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-19 16:42:24.180616,2024-03-19 17:37:10.948862
2,0.0313476808949,"{'batch_size': 64, 'n_layers': 7, 'n_units_l0': 100, 'n_units_l1': 80, 'n_units_l2': 80, 'n_units_l3': 40, 'n_units_l4': 70, 'n_units_l5': 80, 'n_units_l6': 90, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-19 17:37:10.949837,2024-03-19 18:11:04.273788
3,0.6475248007827985,"{'batch_size': 16, 'n_layers': 13, 'n_units_l0': 70, 'n_units_l1': 50, 'n_units_l2': 70, 'n_units_l3': 80, 'n_units_l4': 50, 'n_units_l5': 60, 'n_units_l6': 70, 'n_units_l7': 30, 'n_units_l8': 80, 'n_units_l9': 100, 'n_units_l10': 40, 'n_units_l11': 30, 'n_units_l12': 50, 'dropout': 0.01, 'activation': 'relu'}",2024-03-19 18:11:04.274743,2024-03-19 18:41:13.362392
4,0.020853354563704116,"{'batch_size': 256, 'n_layers': 7, 'n_units_l0': 80, 'n_units_l1': 80, 'n_units_l2': 100, 'n_units_l3': 80, 'n_units_l4': 50, 'n_units_l5': 80, 'n_units_l6': 90, 'dropout': 0.05, 'activation': 'relu'}",2024-03-19 18:41:13.363426,2024-03-19 18:51:14.224915
5,0.0226609753298622,"{'batch_size': 256, 'n_layers': 6, 'n_units_l0': 80, 'n_units_l1': 70, 'n_units_l2': 30, 'n_units_l3': 100, 'n_units_l4': 90, 'n_units_l5': 80, 'dropout': 0.05, 'activation': 'relu'}",2024-03-19 18:51:14.225863,2024-03-19 19:00:58.120120
6,0.030543786722669143,"{'batch_size': 256, 'n_layers': 9, 'n_units_l0': 30, 'n_units_l1': 30, 'n_units_l2': 80, 'n_units_l3': 90, 'n_units_l4': 90, 'n_units_l5': 100, 'n_units_l6': 60, 'n_units_l7': 30, 'n_units_l8': 70, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-19 19:00:58.121084,2024-03-19 19:11:49.964856
7,0.6475253923094901,"{'batch_size': 16, 'n_layers': 12, 'n_units_l0': 100, 'n_units_l1': 90, 'n_units_l2': 70, 'n_units_l3': 100, 'n_units_l4': 100, 'n_units_l5': 80, 'n_units_l6': 80, 'n_units_l7': 100, 'n_units_l8': 100, 'n_units_l9': 40, 'n_units_l10': 100, 'n_units_l11': 100, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 19:11:49.965824,2024-03-19 19:40:53.673679
8,0.03993403120657408,"{'batch_size': 32, 'n_layers': 12, 'n_units_l0': 80, 'n_units_l1': 40, 'n_units_l2': 100, 'n_units_l3': 70, 'n_units_l4': 40, 'n_units_l5': 90, 'n_units_l6': 50, 'n_units_l7': 90, 'n_units_l8': 60, 'n_units_l9': 50, 'n_units_l10': 30, 'n_units_l11': 30, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-19 19:40:53.674663,2024-03-19 20:45:03.777459
9,0.03304027916796612,"{'batch_size': 64, 'n_layers': 4, 'n_units_l0': 70, 'n_units_l1': 100, 'n_units_l2': 100, 'n_units_l3': 70, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-19 20:45:03.778449,2024-03-19 21:17:10.765718
