number,value,params,datetime_start,datetime_complete
0,0.024191408127247634,"{'batch_size': 128, 'n_layers': 5, 'n_units_l0': 50, 'n_units_l1': 30, 'n_units_l2': 80, 'n_units_l3': 100, 'n_units_l4': 60, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 15:54:00.244829,2024-03-19 16:08:37.365102
1,0.032379605948306536,"{'batch_size': 256, 'n_layers': 5, 'n_units_l0': 70, 'n_units_l1': 70, 'n_units_l2': 40, 'n_units_l3': 60, 'n_units_l4': 40, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-19 16:08:37.366166,2024-03-19 16:18:44.792813
2,0.038891745639267075,"{'batch_size': 64, 'n_layers': 5, 'n_units_l0': 50, 'n_units_l1': 40, 'n_units_l2': 100, 'n_units_l3': 30, 'n_units_l4': 80, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-19 16:18:44.793801,2024-03-19 16:45:55.143525
3,0.6573586806325296,"{'batch_size': 32, 'n_layers': 10, 'n_units_l0': 50, 'n_units_l1': 70, 'n_units_l2': 40, 'n_units_l3': 90, 'n_units_l4': 70, 'n_units_l5': 80, 'n_units_l6': 60, 'n_units_l7': 80, 'n_units_l8': 80, 'n_units_l9': 90, 'dropout': 0.01, 'activation': 'relu'}",2024-03-19 16:45:55.144463,2024-03-19 17:05:58.555174
4,0.035719281944071465,"{'batch_size': 128, 'n_layers': 4, 'n_units_l0': 40, 'n_units_l1': 100, 'n_units_l2': 50, 'n_units_l3': 70, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-19 17:05:58.556159,2024-03-19 17:19:56.083030
5,0.03911794622033843,"{'batch_size': 128, 'n_layers': 6, 'n_units_l0': 90, 'n_units_l1': 100, 'n_units_l2': 40, 'n_units_l3': 60, 'n_units_l4': 80, 'n_units_l5': 50, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-19 17:19:56.083958,2024-03-19 17:34:13.106015
6,0.6573588335765758,"{'batch_size': 128, 'n_layers': 11, 'n_units_l0': 50, 'n_units_l1': 90, 'n_units_l2': 100, 'n_units_l3': 50, 'n_units_l4': 30, 'n_units_l5': 40, 'n_units_l6': 60, 'n_units_l7': 100, 'n_units_l8': 40, 'n_units_l9': 80, 'n_units_l10': 90, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 17:34:13.106973,2024-03-19 17:39:33.687774
7,0.02654676618239803,"{'batch_size': 32, 'n_layers': 4, 'n_units_l0': 70, 'n_units_l1': 30, 'n_units_l2': 50, 'n_units_l3': 40, 'dropout': 0.05, 'activation': 'relu'}",2024-03-19 17:39:33.688737,2024-03-19 18:36:09.604164
8,0.04052569568967116,"{'batch_size': 32, 'n_layers': 4, 'n_units_l0': 70, 'n_units_l1': 40, 'n_units_l2': 30, 'n_units_l3': 50, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-19 18:36:09.605127,2024-03-19 19:35:40.640517
9,0.6573583931952391,"{'batch_size': 256, 'n_layers': 11, 'n_units_l0': 40, 'n_units_l1': 40, 'n_units_l2': 30, 'n_units_l3': 60, 'n_units_l4': 70, 'n_units_l5': 60, 'n_units_l6': 50, 'n_units_l7': 50, 'n_units_l8': 100, 'n_units_l9': 70, 'n_units_l10': 70, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 19:35:40.641477,2024-03-19 19:38:13.312446
10,0.6573529538608751,"{'batch_size': 32, 'n_layers': 11, 'n_units_l0': 60, 'n_units_l1': 90, 'n_units_l2': 80, 'n_units_l3': 60, 'n_units_l4': 100, 'n_units_l5': 40, 'n_units_l6': 30, 'n_units_l7': 40, 'n_units_l8': 90, 'n_units_l9': 70, 'n_units_l10': 30, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-19 19:38:13.313416,2024-03-19 19:52:07.318444
11,0.04181824369091132,"{'batch_size': 128, 'n_layers': 13, 'n_units_l0': 40, 'n_units_l1': 90, 'n_units_l2': 80, 'n_units_l3': 90, 'n_units_l4': 100, 'n_units_l5': 60, 'n_units_l6': 90, 'n_units_l7': 40, 'n_units_l8': 70, 'n_units_l9': 80, 'n_units_l10': 100, 'n_units_l11': 100, 'n_units_l12': 60, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-19 19:52:07.319413,2024-03-19 20:10:15.444002
12,0.03170297278633803,"{'batch_size': 128, 'n_layers': 6, 'n_units_l0': 70, 'n_units_l1': 40, 'n_units_l2': 90, 'n_units_l3': 40, 'n_units_l4': 50, 'n_units_l5': 70, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-19 20:10:15.444990,2024-03-19 20:26:51.758025
13,0.6573589913889001,"{'batch_size': 128, 'n_layers': 12, 'n_units_l0': 100, 'n_units_l1': 70, 'n_units_l2': 100, 'n_units_l3': 60, 'n_units_l4': 100, 'n_units_l5': 40, 'n_units_l6': 90, 'n_units_l7': 40, 'n_units_l8': 60, 'n_units_l9': 50, 'n_units_l10': 60, 'n_units_l11': 100, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 20:26:51.759013,2024-03-19 20:31:33.625887
14,0.04167073156822162,"{'batch_size': 16, 'n_layers': 6, 'n_units_l0': 40, 'n_units_l1': 70, 'n_units_l2': 40, 'n_units_l3': 50, 'n_units_l4': 100, 'n_units_l5': 30, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-19 20:31:33.626873,2024-03-19 22:34:53.325169
15,0.02197357431947264,"{'batch_size': 128, 'n_layers': 6, 'n_units_l0': 90, 'n_units_l1': 100, 'n_units_l2': 80, 'n_units_l3': 90, 'n_units_l4': 30, 'n_units_l5': 50, 'dropout': 0.01, 'activation': 'relu'}",2024-03-19 22:34:53.327238,2024-03-19 22:51:23.848482
16,0.6573590241933017,"{'batch_size': 16, 'n_layers': 9, 'n_units_l0': 80, 'n_units_l1': 50, 'n_units_l2': 40, 'n_units_l3': 50, 'n_units_l4': 70, 'n_units_l5': 100, 'n_units_l6': 90, 'n_units_l7': 30, 'n_units_l8': 100, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 22:51:23.849443,2024-03-20 00:01:11.104597
17,0.02578770929151904,"{'batch_size': 128, 'n_layers': 4, 'n_units_l0': 70, 'n_units_l1': 40, 'n_units_l2': 70, 'n_units_l3': 70, 'dropout': 0.03, 'activation': 'relu'}",2024-03-20 00:01:11.105575,2024-03-20 00:08:03.217666
18,0.03964780539020152,"{'batch_size': 256, 'n_layers': 13, 'n_units_l0': 100, 'n_units_l1': 30, 'n_units_l2': 70, 'n_units_l3': 30, 'n_units_l4': 90, 'n_units_l5': 90, 'n_units_l6': 60, 'n_units_l7': 90, 'n_units_l8': 60, 'n_units_l9': 30, 'n_units_l10': 60, 'n_units_l11': 60, 'n_units_l12': 30, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-20 00:08:03.218636,2024-03-20 00:18:30.823874
19,0.6573585387228157,"{'batch_size': 256, 'n_layers': 12, 'n_units_l0': 90, 'n_units_l1': 90, 'n_units_l2': 60, 'n_units_l3': 30, 'n_units_l4': 100, 'n_units_l5': 80, 'n_units_l6': 30, 'n_units_l7': 100, 'n_units_l8': 30, 'n_units_l9': 40, 'n_units_l10': 60, 'n_units_l11': 60, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-20 00:18:30.824866,2024-03-20 00:21:40.020352
