number,value,params,datetime_start,datetime_complete
0,0.03960919332221775,"{'batch_size': 32, 'n_layers': 11, 'n_units_l0': 50, 'n_units_l1': 80, 'n_units_l2': 70, 'n_units_l3': 40, 'n_units_l4': 80, 'n_units_l5': 80, 'n_units_l6': 40, 'n_units_l7': 70, 'n_units_l8': 50, 'n_units_l9': 90, 'n_units_l10': 50, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-19 15:54:31.548904,2024-03-19 16:41:38.081946
1,0.040186472605449594,"{'batch_size': 16, 'n_layers': 13, 'n_units_l0': 70, 'n_units_l1': 40, 'n_units_l2': 80, 'n_units_l3': 50, 'n_units_l4': 100, 'n_units_l5': 80, 'n_units_l6': 100, 'n_units_l7': 100, 'n_units_l8': 80, 'n_units_l9': 100, 'n_units_l10': 50, 'n_units_l11': 100, 'n_units_l12': 70, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-19 16:41:38.083061,2024-03-19 18:54:53.885571
2,0.029102937580004616,"{'batch_size': 256, 'n_layers': 8, 'n_units_l0': 80, 'n_units_l1': 100, 'n_units_l2': 100, 'n_units_l3': 30, 'n_units_l4': 30, 'n_units_l5': 70, 'n_units_l6': 60, 'n_units_l7': 80, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-19 18:54:53.886592,2024-03-19 19:05:32.517603
3,0.028789784491261662,"{'batch_size': 256, 'n_layers': 10, 'n_units_l0': 80, 'n_units_l1': 60, 'n_units_l2': 80, 'n_units_l3': 80, 'n_units_l4': 50, 'n_units_l5': 80, 'n_units_l6': 50, 'n_units_l7': 60, 'n_units_l8': 60, 'n_units_l9': 80, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-19 19:05:32.518589,2024-03-19 19:16:28.703258
4,0.6459344903009132,"{'batch_size': 32, 'n_layers': 13, 'n_units_l0': 40, 'n_units_l1': 50, 'n_units_l2': 70, 'n_units_l3': 100, 'n_units_l4': 100, 'n_units_l5': 40, 'n_units_l6': 30, 'n_units_l7': 80, 'n_units_l8': 30, 'n_units_l9': 90, 'n_units_l10': 30, 'n_units_l11': 90, 'n_units_l12': 40, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-19 19:16:28.704235,2024-03-19 19:32:07.027720
5,0.022889284724163825,"{'batch_size': 64, 'n_layers': 5, 'n_units_l0': 70, 'n_units_l1': 50, 'n_units_l2': 50, 'n_units_l3': 30, 'n_units_l4': 40, 'dropout': 0.01, 'activation': 'relu'}",2024-03-19 19:32:07.028732,2024-03-19 19:59:39.737114
6,0.6459009433095046,"{'batch_size': 32, 'n_layers': 12, 'n_units_l0': 60, 'n_units_l1': 90, 'n_units_l2': 90, 'n_units_l3': 50, 'n_units_l4': 80, 'n_units_l5': 70, 'n_units_l6': 60, 'n_units_l7': 40, 'n_units_l8': 40, 'n_units_l9': 40, 'n_units_l10': 80, 'n_units_l11': 60, 'dropout': 0.01, 'activation': 'relu'}",2024-03-19 19:59:39.738053,2024-03-19 20:16:17.195330
7,0.03035274821503285,"{'batch_size': 64, 'n_layers': 10, 'n_units_l0': 70, 'n_units_l1': 80, 'n_units_l2': 100, 'n_units_l3': 30, 'n_units_l4': 60, 'n_units_l5': 50, 'n_units_l6': 60, 'n_units_l7': 100, 'n_units_l8': 30, 'n_units_l9': 50, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-19 20:16:17.196323,2024-03-19 20:53:55.961983
8,0.03255102162814114,"{'batch_size': 128, 'n_layers': 9, 'n_units_l0': 30, 'n_units_l1': 50, 'n_units_l2': 80, 'n_units_l3': 80, 'n_units_l4': 50, 'n_units_l5': 60, 'n_units_l6': 70, 'n_units_l7': 40, 'n_units_l8': 50, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-19 20:53:55.962954,2024-03-19 21:10:55.171247
9,0.6460185166111788,"{'batch_size': 64, 'n_layers': 9, 'n_units_l0': 100, 'n_units_l1': 40, 'n_units_l2': 80, 'n_units_l3': 50, 'n_units_l4': 40, 'n_units_l5': 40, 'n_units_l6': 90, 'n_units_l7': 90, 'n_units_l8': 80, 'dropout': 0.05, 'activation': 'relu'}",2024-03-19 21:10:55.172206,2024-03-19 21:18:55.718634
10,0.02281626614647384,"{'batch_size': 64, 'n_layers': 6, 'n_units_l0': 50, 'n_units_l1': 60, 'n_units_l2': 40, 'n_units_l3': 90, 'n_units_l4': 90, 'n_units_l5': 100, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 21:18:55.719603,2024-03-19 21:51:28.997324
