number,value,params,datetime_start,datetime_complete
0,7.97888565877703e-05,"{'batch_size': 64, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-19 21:55:22.691015,2023-12-19 23:08:53.994198
1,0.0004191254319680885,"{'batch_size': 32, 'd_model': 256, 'nhead': 8, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-19 23:08:53.995237,2023-12-20 00:14:17.394246
2,3.346366872293786e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-20 00:14:17.395217,2023-12-20 00:25:28.495893
3,0.00016680563971951238,"{'batch_size': 32, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-20 00:25:28.496869,2023-12-20 02:38:42.723829
4,0.00020431040159180134,"{'batch_size': 128, 'd_model': 128, 'nhead': 8, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.03}",2023-12-20 02:38:42.724789,2023-12-20 02:48:42.719798
5,3.372299812011241e-05,"{'batch_size': 256, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.03}",2023-12-20 02:48:42.720746,2023-12-20 02:57:23.396452
6,8.575494013382972e-05,"{'batch_size': 64, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-20 02:57:23.397389,2023-12-20 04:18:51.617971
7,2.551476658480765e-05,"{'batch_size': 256, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.05}",2023-12-20 04:18:51.618931,2023-12-20 04:34:43.771300
8,0.0001143745194466015,"{'batch_size': 256, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-20 04:34:43.772248,2023-12-20 04:41:38.706663
9,0.0001688417439070285,"{'batch_size': 64, 'd_model': 256, 'nhead': 8, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-20 04:41:38.707607,2023-12-20 05:18:11.643465
10,0.00016943141023163121,"{'batch_size': 64, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.03}",2023-12-20 05:18:11.644402,2023-12-20 06:00:39.254342
11,2.0886457702665092e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-20 06:00:39.255304,2023-12-20 06:23:53.593929
12,0.00012259033194959523,"{'batch_size': 256, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-20 06:23:53.594908,2023-12-20 06:29:49.587167
13,4.5560574681042924e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.01}",2023-12-20 06:29:49.588130,2023-12-20 06:37:24.524296
14,3.077303605178844e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-20 06:37:24.525262,2023-12-20 06:55:26.834867
15,2.9250124738612248e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.01}",2023-12-20 06:55:26.835824,2023-12-20 07:11:05.480893
16,0.0004091330073731021,"{'batch_size': 32, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 2048, 'dropout': 0.03}",2023-12-20 07:11:05.481852,2023-12-20 08:27:02.867667
17,3.304684059973933e-05,"{'batch_size': 256, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.03}",2023-12-20 08:27:02.868631,2023-12-20 08:37:54.564858
18,0.0020169927254754267,"{'batch_size': 32, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.03}",2023-12-20 08:37:54.565830,2023-12-20 09:17:10.851666
19,2.3511181405971007e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.03}",2023-12-20 09:17:10.852630,2023-12-20 09:35:16.806955
20,0.00019386848658606867,"{'batch_size': 128, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-20 09:35:16.807892,2023-12-20 09:45:58.587851
21,0.00012120331328035535,"{'batch_size': 256, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-20 09:45:58.588822,2023-12-20 09:54:38.140369
22,0.00011610497870992025,"{'batch_size': 256, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.05}",2023-12-20 09:54:38.141324,2023-12-20 10:01:05.974143
23,0.00027811259465260977,"{'batch_size': 128, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-20 10:01:05.975223,2023-12-20 10:12:56.405125
24,5.31654425236099e-05,"{'batch_size': 128, 'd_model': 128, 'nhead': 8, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.01}",2023-12-20 10:12:56.406094,2023-12-20 10:38:06.397343
25,0.00015336768574211078,"{'batch_size': 64, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-20 10:38:06.398311,2023-12-20 11:22:18.687118
26,3.7099208536514e-05,"{'batch_size': 128, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.03}",2023-12-20 11:22:18.688077,2023-12-20 11:54:55.228704
27,0.000816799794936667,"{'batch_size': 64, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.05}",2023-12-20 11:54:55.229770,2023-12-20 12:10:07.373269
28,3.594322433216026e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-20 12:10:07.374711,2023-12-20 12:22:04.726074
29,5.225316215200919e-05,"{'batch_size': 128, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-20 12:22:04.727048,2023-12-20 12:48:42.489164
30,0.0007321465376181301,"{'batch_size': 64, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-20 12:48:42.490244,2023-12-20 13:10:24.344649
31,0.00036799404071602676,"{'batch_size': 32, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-20 13:10:24.345619,2023-12-20 14:30:10.921634
32,2.7182148905992576e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.03}",2023-12-20 14:30:10.922626,2023-12-20 14:43:18.407830
33,3.821788594738483e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.05}",2023-12-20 14:43:18.408777,2023-12-20 14:53:31.911832
34,2.7034844060042314e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.03}",2023-12-20 14:53:31.912791,2023-12-20 15:04:28.763945
35,0.0003662230741134991,"{'batch_size': 32, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-20 15:04:28.764971,2023-12-20 16:07:12.105935
36,0.0013350543606153488,"{'batch_size': 32, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 512, 'dropout': 0.01}",2023-12-20 16:07:12.106951,2023-12-20 16:45:45.951772
37,3.878118655990546e-05,"{'batch_size': 128, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.03}",2023-12-20 16:45:45.952754,2023-12-20 17:31:03.413541
38,0.0001321259344676033,"{'batch_size': 64, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-20 17:31:03.414523,2023-12-20 18:09:01.941905
39,9.304338700874226e-05,"{'batch_size': 64, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.03}",2023-12-20 18:09:01.942913,2023-12-20 19:40:48.951340
