number,value,params,datetime_start,datetime_complete
0,0.00014473009906989338,"{'batch_size': 64, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-19 21:55:28.469029,2023-12-19 22:29:47.138390
1,2.9598870655771468e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-19 22:29:47.139438,2023-12-19 22:39:23.073297
2,0.0003256061214408103,"{'batch_size': 32, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-19 22:39:23.074243,2023-12-19 23:35:41.625693
3,9.599651304160981e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-19 23:35:41.626634,2023-12-19 23:40:29.481932
4,0.0003251581246728806,"{'batch_size': 32, 'd_model': 128, 'nhead': 8, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-19 23:40:29.482876,2023-12-20 00:56:40.256950
5,0.00032110763173907994,"{'batch_size': 128, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.03}",2023-12-20 00:56:40.257918,2023-12-20 01:06:32.842432
6,2.5931915829729022e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-20 01:06:32.843377,2023-12-20 01:17:08.395277
7,0.00038537190205123603,"{'batch_size': 32, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-20 01:17:08.396232,2023-12-20 02:20:54.131046
8,5.0276640475339815e-05,"{'batch_size': 128, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.03}",2023-12-20 02:20:54.132014,2023-12-20 02:40:13.100629
9,0.0001289637826336698,"{'batch_size': 64, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-20 02:40:13.101585,2023-12-20 03:13:30.645089
10,0.0003454533192024746,"{'batch_size': 32, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-20 03:13:30.646063,2023-12-20 04:23:02.565843
11,0.0007244887024865652,"{'batch_size': 64, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.03}",2023-12-20 04:23:02.566816,2023-12-20 04:43:27.333319
12,0.00014510120374851987,"{'batch_size': 64, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-20 04:43:27.334842,2023-12-20 05:25:48.020232
13,0.00038559213773729203,"{'batch_size': 32, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.05}",2023-12-20 05:25:48.021183,2023-12-20 07:07:16.298996
