number,value,params,datetime_start,datetime_complete
0,0.00012859202058161835,"{'batch_size': 256, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-16 21:35:48.799049,2023-12-16 21:39:15.639178
1,6.742599405748677e-05,"{'batch_size': 64, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.01}",2023-12-16 21:39:15.640250,2023-12-16 22:14:11.152681
2,0.0025228952632426723,"{'batch_size': 32, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-16 22:14:11.153665,2023-12-16 22:28:26.487525
3,1.747353328134752e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-16 22:28:26.488456,2023-12-16 22:36:39.414821
4,8.147306897822803e-05,"{'batch_size': 128, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-16 22:36:39.415787,2023-12-16 22:44:44.317338
5,5.337206996875001e-05,"{'batch_size': 128, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-16 22:44:44.318218,2023-12-16 23:02:45.805070
6,0.0002720201104508452,"{'batch_size': 128, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-16 23:02:45.805990,2023-12-16 23:07:52.386982
7,0.00012431047875769251,"{'batch_size': 128, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-16 23:07:52.387917,2023-12-16 23:12:11.678114
8,0.00010340439020438516,"{'batch_size': 256, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.01}",2023-12-16 23:12:11.679075,2023-12-16 23:14:10.100645
9,5.956587400438166e-05,"{'batch_size': 128, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-16 23:14:10.101560,2023-12-16 23:22:25.324007
