number,value,params,datetime_start,datetime_complete
0,9.017759388732043e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 09:53:01.320394,2024-03-16 10:13:23.640252
1,0.0004000897568674979,"{'batch_size': 128, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 10:13:23.641314,2024-03-16 10:23:51.078388
2,0.00035010091420942073,"{'batch_size': 64, 'd_model': 64, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 10:23:51.079390,2024-03-16 11:38:59.228839
3,9.3665579150823e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.01}",2024-03-16 11:38:59.229824,2024-03-16 11:48:02.013388
4,0.00020519397262764818,"{'batch_size': 128, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 11:48:02.014364,2024-03-16 12:03:07.006952
5,0.0003744211923057643,"{'batch_size': 64, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 12:03:07.007916,2024-03-16 12:58:29.388871
6,0.001090464267561972,"{'batch_size': 32, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 12:58:29.389850,2024-03-16 14:29:16.760353
7,0.0004982897326226878,"{'batch_size': 64, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 5, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 14:29:16.761311,2024-03-16 15:03:02.767879
8,0.0002061713972893433,"{'batch_size': 128, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-16 15:03:02.768851,2024-03-16 15:23:35.892693
9,0.00046787054138550924,"{'batch_size': 64, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.05}",2024-03-16 15:23:35.893670,2024-03-16 15:55:00.557464
10,0.0008969576852933417,"{'batch_size': 64, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 15:55:00.558430,2024-03-16 16:09:26.036752
11,0.00046538542062701197,"{'batch_size': 64, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.03}",2024-03-16 16:09:26.038001,2024-03-16 16:37:46.369075
12,0.0003961196123521628,"{'batch_size': 128, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 5, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 16:37:46.370043,2024-03-16 16:45:54.482237
13,0.00046710818363486587,"{'batch_size': 64, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.05}",2024-03-16 16:45:54.483188,2024-03-16 17:22:37.295267
14,0.0019310227417889828,"{'batch_size': 32, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 512, 'dropout': 0.03}",2024-03-16 17:22:37.296217,2024-03-16 17:52:16.405891
15,0.002609797494898314,"{'batch_size': 32, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 17:52:16.406849,2024-03-16 18:19:37.506637
16,0.0010721466272871143,"{'batch_size': 32, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 18:19:37.507595,2024-03-16 19:17:09.814183
17,0.002723882584534671,"{'batch_size': 32, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-16 19:17:09.815178,2024-03-16 19:52:28.429796
18,0.0009272338292789534,"{'batch_size': 32, 'd_model': 128, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-16 19:52:28.430771,2024-03-16 20:54:19.770844
19,0.0006941567664570899,"{'batch_size': 32, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-16 20:54:19.771819,2024-03-16 22:52:34.526993
20,0.0007632672787915877,"{'batch_size': 32, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-16 22:52:34.527979,2024-03-17 01:02:10.266056
21,0.0009574037876089756,"{'batch_size': 32, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.01}",2024-03-17 01:02:10.267031,2024-03-17 02:17:15.448268
22,0.00018264915743396913,"{'batch_size': 128, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.01}",2024-03-17 02:17:15.449232,2024-03-17 02:41:43.465498
23,0.00018854319305687886,"{'batch_size': 128, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-17 02:41:43.466469,2024-03-17 03:03:00.275426
24,0.0011261611043589922,"{'batch_size': 64, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-17 03:03:00.276435,2024-03-17 03:18:52.507070
