number,value,params,datetime_start,datetime_complete
0,0.0036431769793607424,"{'batch_size': 32, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-16 09:52:53.560199,2024-03-16 10:32:52.243121
1,9.027202921531705e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.01}",2024-03-16 10:32:52.244179,2024-03-16 10:51:18.013897
2,0.0009612753711383268,"{'batch_size': 64, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 6, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-16 10:51:18.014877,2024-03-16 11:11:13.737155
3,0.001948165283335083,"{'batch_size': 32, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-16 11:11:13.738151,2024-03-16 11:46:24.076586
4,0.0010158762746274599,"{'batch_size': 32, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 11:46:24.077545,2024-03-16 12:44:06.278073
5,0.0010139364623876503,"{'batch_size': 64, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 5, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 12:44:06.279096,2024-03-16 12:59:06.695587
6,0.0007227505768115439,"{'batch_size': 32, 'd_model': 64, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 12:59:06.696565,2024-03-16 15:28:37.845233
7,0.00020676473279571334,"{'batch_size': 128, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.05}",2024-03-16 15:28:37.846224,2024-03-16 15:44:07.793225
8,9.535752916072692e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 15:44:07.794190,2024-03-16 15:58:07.239189
9,0.0004644776945216519,"{'batch_size': 64, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 15:58:07.240154,2024-03-16 16:35:43.882499
10,0.0001056131649920197,"{'batch_size': 256, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-16 16:35:43.883466,2024-03-16 16:44:06.267851
11,0.0009292223280398897,"{'batch_size': 32, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 16:44:06.268811,2024-03-16 17:45:02.349018
12,0.00044044599115995633,"{'batch_size': 64, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-16 17:45:02.349987,2024-03-16 18:18:28.598577
13,8.576719862169496e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 18:18:28.599540,2024-03-16 18:32:53.306310
14,0.0002154397518270004,"{'batch_size': 128, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-16 18:32:53.307281,2024-03-16 18:50:26.015846
15,0.0001901353562729119,"{'batch_size': 128, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-16 18:50:26.016794,2024-03-16 19:08:39.193889
16,0.0009622577831824659,"{'batch_size': 32, 'd_model': 128, 'nhead': 8, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 19:08:39.194830,2024-03-16 20:27:56.337740
17,0.0009760637211740316,"{'batch_size': 32, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-16 20:27:56.338713,2024-03-16 21:58:54.128971
18,0.00045340495462099003,"{'batch_size': 64, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.05}",2024-03-16 21:58:54.130019,2024-03-16 22:32:41.328923
19,0.00036047636746433683,"{'batch_size': 64, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.05}",2024-03-16 22:32:41.329921,2024-03-16 23:29:37.527474
20,0.00043986502722848987,"{'batch_size': 64, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 23:29:37.528453,2024-03-17 00:05:06.388637
21,0.0010788506262511574,"{'batch_size': 32, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-17 00:05:06.389588,2024-03-17 00:59:57.289444
22,0.000190505181880465,"{'batch_size': 256, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-17 00:59:57.290416,2024-03-17 01:04:18.638689
23,0.00010613045880561762,"{'batch_size': 256, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-17 01:04:18.639751,2024-03-17 01:12:55.026272
24,8.548887170005658e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-17 01:12:55.027244,2024-03-17 01:26:34.065908
25,0.0001952609093503718,"{'batch_size': 128, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-17 01:26:34.066965,2024-03-17 01:41:51.905980
26,0.0032449548654904323,"{'batch_size': 32, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.01}",2024-03-17 01:41:51.906931,2024-03-17 02:06:54.866307
27,9.503541236988413e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-17 02:06:54.867272,2024-03-17 02:24:27.556701
28,0.00046566527930169834,"{'batch_size': 64, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-17 02:24:27.557689,2024-03-17 03:04:22.634753
29,0.0007829122776991502,"{'batch_size': 32, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 5, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-17 03:04:22.635798,2024-03-17 05:18:06.686393
30,0.0003796145634485769,"{'batch_size': 128, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-17 05:18:06.687366,2024-03-17 05:25:24.063200
31,0.003132360467466305,"{'batch_size': 32, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-17 05:25:24.064150,2024-03-17 05:54:16.391245
