number,value,params,datetime_start,datetime_complete
0,0.0001638538071497434,"{'batch_size': 128, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 09:53:07.113785,2024-03-16 10:34:03.422767
1,0.00037106081560538183,"{'batch_size': 64, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 10:34:03.423878,2024-03-16 11:49:02.716793
2,0.00019821067856641474,"{'batch_size': 128, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-16 11:49:02.717770,2024-03-16 12:12:45.038351
3,0.00019459095597806723,"{'batch_size': 128, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-16 12:12:45.039260,2024-03-16 12:28:51.747425
4,0.0009552190525372094,"{'batch_size': 32, 'd_model': 128, 'nhead': 8, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-16 12:28:51.748357,2024-03-16 13:45:45.163341
5,0.00043222603632639357,"{'batch_size': 64, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 13:45:45.164289,2024-03-16 14:31:26.540323
6,0.00041600263834800386,"{'batch_size': 64, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.01}",2024-03-16 14:31:26.541288,2024-03-16 15:08:12.451797
7,0.00020852743330618002,"{'batch_size': 128, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-16 15:08:12.452754,2024-03-16 15:26:35.518982
8,9.627348066368269e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-16 15:26:35.519938,2024-03-16 15:34:48.981902
9,0.00035161995696149584,"{'batch_size': 128, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 15:34:48.982845,2024-03-16 15:42:54.894273
10,0.00047720915074862715,"{'batch_size': 64, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.05}",2024-03-16 15:42:54.895264,2024-03-16 16:05:22.886833
11,9.671632198755215e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-16 16:05:22.887801,2024-03-16 16:14:46.632085
12,0.0001381773765312166,"{'batch_size': 256, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.01}",2024-03-16 16:14:46.633059,2024-03-16 16:19:40.868743
13,0.0004629440745929072,"{'batch_size': 64, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.01}",2024-03-16 16:19:40.869713,2024-03-16 16:46:19.063041
14,8.330462839842485e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 16:46:19.063992,2024-03-16 17:04:08.786179
15,0.0004213435201080105,"{'batch_size': 128, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 2048, 'dropout': 0.05}",2024-03-16 17:04:08.787144,2024-03-16 17:12:20.871911
16,0.00019186394332095983,"{'batch_size': 256, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-16 17:12:20.872862,2024-03-16 17:16:44.550657
17,0.00020021260866560234,"{'batch_size': 128, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 17:16:44.551620,2024-03-16 17:30:22.910713
18,0.0004645539651298999,"{'batch_size': 64, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.03}",2024-03-16 17:30:22.911673,2024-03-16 17:59:39.104279
19,0.0009350910310007645,"{'batch_size': 32, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 17:59:39.105230,2024-03-16 18:47:57.661226
20,9.862460664957867e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.03}",2024-03-16 18:47:57.662191,2024-03-16 18:58:02.446415
21,0.001020038640524733,"{'batch_size': 32, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 18:58:02.447391,2024-03-16 19:58:08.934067
22,9.878513377605598e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-16 19:58:08.935026,2024-03-16 20:08:00.094413
23,0.0009580805754963915,"{'batch_size': 32, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 20:08:00.095351,2024-03-16 21:13:57.487903
24,0.00010251378907435814,"{'batch_size': 256, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 21:13:57.488848,2024-03-16 21:21:47.568208
25,0.00018722462273597942,"{'batch_size': 128, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.01}",2024-03-16 21:21:47.569152,2024-03-16 21:41:32.015891
26,0.00019518452199634656,"{'batch_size': 128, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-16 21:41:32.016831,2024-03-16 21:59:32.052224
27,0.00040469349071120124,"{'batch_size': 128, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 21:59:32.053172,2024-03-16 22:07:24.775305
