number,value,params,datetime_start,datetime_complete
0,0.00010013843000735993,"{'batch_size': 256, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 09:53:03.595101,2024-03-16 10:03:13.949516
1,0.0010054715145960626,"{'batch_size': 32, 'd_model': 256, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-16 10:03:13.950574,2024-03-16 11:14:57.781646
2,0.00017973555594141114,"{'batch_size': 256, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 11:14:57.782617,2024-03-16 11:19:26.553105
3,0.00019201945243527962,"{'batch_size': 128, 'd_model': 256, 'nhead': 8, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 11:19:26.554083,2024-03-16 11:38:25.412523
4,0.002308362360056814,"{'batch_size': 32, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-16 11:38:25.413464,2024-03-16 12:08:17.054188
5,0.0009251396445148426,"{'batch_size': 32, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-16 12:08:17.055149,2024-03-16 12:58:36.941491
6,0.00015726129456816767,"{'batch_size': 256, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.01}",2024-03-16 12:58:36.942525,2024-03-16 13:02:45.620111
7,0.0004203669107669106,"{'batch_size': 64, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-16 13:02:45.621080,2024-03-16 13:50:13.018556
8,9.079363264301913e-05,"{'batch_size': 256, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-16 13:50:13.019547,2024-03-16 14:09:06.670818
9,0.00020453746209316207,"{'batch_size': 256, 'd_model': 256, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-16 14:09:06.672095,2024-03-16 14:13:43.838352
10,0.0011552121937835405,"{'batch_size': 64, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-16 14:13:43.839305,2024-03-16 14:34:02.446366
